,winner,num_moves,first_player.id,first_player.depth,first_player.times,first_player.num_nodes_gen,second_player.id,second_player.depth,second_player.times,second_player.num_nodes_gen
27,1,37,PlayerBFMM,4,"[0.003176, 0.007484, 0.007093, 0.035594, 0.008271, 0.011296, 0.028643, 0.005612, 0.009505, 0.008133, 0.005317, 0.004194, 0.008206, 0.003129, 0.006786, 0.003739, 0.005037, 0.00409, 0.000368]",1663,PlayerBFMM,7,"[0.082746, 0.103864, 0.045422, 0.017766, 0.093223, 0.035, 0.009636, 0.030276, 0.014545, 0.027032, 0.049894, 0.012684, 0.023459, 0.015006, 0.009447, 0.007709, 0.011896, 0.003858]",5976
28,1,7,PlayerBFMM,5,"[0.020951, 0.005849, 0.008234, 0.00035]",443,PlayerBFMM,1,"[0.000482, 0.000659, 0.000511]",21
29,2,36,PlayerBFMM,5,"[0.020256, 0.009049, 0.042776, 0.011858, 0.034113, 0.01425, 0.006639, 0.024156, 0.037049, 0.005922, 0.007384, 0.016887, 0.008763, 0.025637, 0.007971, 0.00286, 0.002085, 0.001296]",3021,PlayerBFMM,2,"[0.001799, 0.003518, 0.002742, 0.001945, 0.002541, 0.002254, 0.003788, 0.006111, 0.003269, 0.003839, 0.001137, 0.002166, 0.001828, 0.002144, 0.0016, 0.001018, 0.000852, 0.000292]",407
30,2,36,PlayerBFMM,5,"[0.019219, 0.008753, 0.042668, 0.013678, 0.033043, 0.013455, 0.006371, 0.028159, 0.030521, 0.004134, 0.005979, 0.013694, 0.007771, 0.025182, 0.008244, 0.00282, 0.002041, 0.001326]",3021,PlayerBFMM,3,"[0.002345, 0.003442, 0.003518, 0.003345, 0.009521, 0.002703, 0.004538, 0.005388, 0.003466, 0.002423, 0.002639, 0.002544, 0.003612, 0.00309, 0.002547, 0.001513, 0.001228, 0.000295]",645
31,2,40,PlayerBFMM,5,"[0.019249, 0.008755, 0.006341, 0.010412, 0.014855, 0.012833, 0.053494, 0.035467, 0.013552, 0.007375, 0.007534, 0.004167, 0.00293, 0.011446, 0.003472, 0.008265, 0.007479, 0.003132, 0.002777, 0.000376]",2615,PlayerBFMM,4,"[0.019551, 0.002838, 0.003079, 0.00522, 0.003624, 0.006642, 0.00998, 0.030279, 0.009648, 0.006687, 0.006303, 0.002867, 0.002538, 0.009004, 0.002547, 0.002971, 0.004807, 0.002112, 0.000801, 0.000196]",1426
32,2,38,PlayerBFMM,5,"[0.019084, 0.008501, 0.005932, 0.010404, 0.014712, 0.013054, 0.053157, 0.036274, 0.014875, 0.007443, 0.008665, 0.004094, 0.00302, 0.011938, 0.003494, 0.003662, 0.004383, 0.002141, 0.001359]",2543,PlayerBFMM,5,"[0.018771, 0.006657, 0.01074, 0.015296, 0.0136, 0.0327, 0.013415, 0.032377, 0.011065, 0.009296, 0.007247, 0.003743, 0.004139, 0.009714, 0.01005, 0.004774, 0.00272, 0.003458, 0.000269]",2362
33,2,36,PlayerBFMM,5,"[0.018824, 0.004474, 0.009559, 0.00639, 0.008455, 0.004625, 0.008017, 0.005921, 0.006223, 0.013, 0.004017, 0.009437, 0.005579, 0.007168, 0.004147, 0.00756, 0.002181, 0.001386]",1371,PlayerBFMM,6,"[0.027912, 0.017738, 0.012403, 0.010112, 0.009902, 0.009608, 0.008037, 0.006873, 0.038126, 0.004531, 0.009476, 0.00579, 0.029475, 0.00853, 0.008252, 0.002671, 0.001885, 0.000259]",2200
34,1,37,PlayerBFMM,5,"[0.019457, 0.008376, 0.013188, 0.032095, 0.008936, 0.012343, 0.029596, 0.006666, 0.012017, 0.012587, 0.010186, 0.004856, 0.010672, 0.00448, 0.008317, 0.004822, 0.005529, 0.004677, 0.000346]",2228,PlayerBFMM,7,"[0.075075, 0.094941, 0.04125, 0.015999, 0.089373, 0.034061, 0.010338, 0.02966, 0.013238, 0.023391, 0.048646, 0.012641, 0.023489, 0.016642, 0.009532, 0.007592, 0.011448, 0.0037]",5976
35,1,7,PlayerBFMM,6,"[0.021719, 0.006267, 0.010599, 0.00035]",481,PlayerBFMM,1,"[0.000463, 0.00055, 0.000487]",21
36,2,36,PlayerBFMM,6,"[0.021101, 0.010465, 0.048063, 0.021755, 0.007253, 0.00743, 0.012134, 0.005792, 0.006145, 0.035759, 0.028865, 0.013076, 0.00828, 0.009126, 0.006841, 0.01226, 0.014337, 0.009628]",2681,PlayerBFMM,2,"[0.001692, 0.003205, 0.002977, 0.002804, 0.001961, 0.000942, 0.002092, 0.002412, 0.002644, 0.000934, 0.002309, 0.001867, 0.00197, 0.001502, 0.002306, 0.001994, 0.00194, 0.000357]",349
